city,term,url
Chicago,dentists,"https://www.google.com/maps/search/chicago+illinois+dentists/@41.8375,-87.6866,12z/"
Miami,dentists,"https://www.google.com/maps/search/miami+florida+dentists/@25.784,-80.2101,12z/"
Philadelphia,dentists,"https://www.google.com/maps/search/philadelphia+pennsylvania+dentists/@40.0077,-75.1339,12z/"
Washington,dentists,"https://www.google.com/maps/search/washington+district+of+columbia+dentists/@38.9047,-77.0163,12z/"
Boston,dentists,"https://www.google.com/maps/search/boston+massachusetts+dentists/@42.3188,-71.0852,12z/"
Detroit,dentists,"https://www.google.com/maps/search/detroit+michigan+dentists/@42.3834,-83.1024,12z/"
San Francisco,dentists,"https://www.google.com/maps/search/san+francisco+california+dentists/@37.7558,-122.4449,12z/"
Seattle,dentists,"https://www.google.com/maps/search/seattle+washington+dentists/@47.6211,-122.3244,12z/"
San Diego,dentists,"https://www.google.com/maps/search/san+diego+california+dentists/@32.8313,-117.1222,12z/"
Minneapolis,dentists,"https://www.google.com/maps/search/minneapolis+minnesota+dentists/@44.9635,-93.2678,12z/"
Brooklyn,dentists,"https://www.google.com/maps/search/brooklyn+new+york+dentists/@40.6501,-73.9496,12z/"
Denver,dentists,"https://www.google.com/maps/search/denver+colorado+dentists/@39.762,-104.8758,12z/"
Queens,dentists,"https://www.google.com/maps/search/queens+new+york+dentists/@40.7498,-73.7976,12z/"
Baltimore,dentists,"https://www.google.com/maps/search/baltimore+maryland+dentists/@39.3051,-76.6144,12z/"
Las Vegas,dentists,"https://www.google.com/maps/search/las+vegas+nevada+dentists/@36.2333,-115.2654,12z/"
St. Louis,dentists,"https://www.google.com/maps/search/st.+louis+missouri+dentists/@38.6359,-90.2451,12z/"
Portland,dentists,"https://www.google.com/maps/search/portland+oregon+dentists/@45.5371,-122.65,12z/"
Sacramento,dentists,"https://www.google.com/maps/search/sacramento+california+dentists/@38.5677,-121.4685,12z/"
San Juan,dentists,"https://www.google.com/maps/search/san+juan+puerto+rico+dentists/@18.3985,-66.061,12z/"
San Jose,dentists,"https://www.google.com/maps/search/san+jose+california+dentists/@37.3012,-121.848,12z/"
Cleveland,dentists,"https://www.google.com/maps/search/cleveland+ohio+dentists/@41.4764,-81.6805,12z/"
Pittsburgh,dentists,"https://www.google.com/maps/search/pittsburgh+pennsylvania+dentists/@40.4397,-79.9763,12z/"
Manhattan,dentists,"https://www.google.com/maps/search/manhattan+new+york+dentists/@40.7834,-73.9662,12z/"
Bronx,dentists,"https://www.google.com/maps/search/bronx+new+york+dentists/@40.8501,-73.8662,12z/"
Milwaukee,dentists,"https://www.google.com/maps/search/milwaukee+wisconsin+dentists/@43.0642,-87.9675,12z/"
Providence,dentists,"https://www.google.com/maps/search/providence+rhode+island+dentists/@41.823,-71.4187,12z/"
Bridgeport,dentists,"https://www.google.com/maps/search/bridgeport+connecticut+dentists/@41.1918,-73.1954,12z/"
Buffalo,dentists,"https://www.google.com/maps/search/buffalo+new+york+dentists/@42.9018,-78.8487,12z/"
Hartford,dentists,"https://www.google.com/maps/search/hartford+connecticut+dentists/@41.7661,-72.6834,12z/"
Honolulu,dentists,"https://www.google.com/maps/search/honolulu+hawaii+dentists/@21.3294,-157.846,12z/"
Rochester,dentists,"https://www.google.com/maps/search/rochester+new+york+dentists/@43.168,-77.6162,12z/"
Fresno,dentists,"https://www.google.com/maps/search/fresno+california+dentists/@36.783,-119.7939,12z/"
Allentown,dentists,"https://www.google.com/maps/search/allentown+pennsylvania+dentists/@40.5961,-75.4756,12z/"
Concord,dentists,"https://www.google.com/maps/search/concord+california+dentists/@37.9722,-122.0016,12z/"
Springfield,dentists,"https://www.google.com/maps/search/springfield+massachusetts+dentists/@42.1155,-72.5395,12z/"
Grand Rapids,dentists,"https://www.google.com/maps/search/grand+rapids+michigan+dentists/@42.9619,-85.6562,12z/"
Mission Viejo,dentists,"https://www.google.com/maps/search/mission+viejo+california+dentists/@33.6096,-117.6551,12z/"
Albany,dentists,"https://www.google.com/maps/search/albany+new+york+dentists/@42.6664,-73.7987,12z/"
New Haven,dentists,"https://www.google.com/maps/search/new+haven+connecticut+dentists/@41.3113,-72.9246,12z/"
Worcester,dentists,"https://www.google.com/maps/search/worcester+massachusetts+dentists/@42.2705,-71.8079,12z/"
Staten Island,dentists,"https://www.google.com/maps/search/staten+island+new+york+dentists/@40.5834,-74.1496,12z/"
Harrisburg,dentists,"https://www.google.com/maps/search/harrisburg+pennsylvania+dentists/@40.2752,-76.8843,12z/"
Long Beach,dentists,"https://www.google.com/maps/search/long+beach+california+dentists/@33.7977,-118.167,12z/"
Lancaster,dentists,"https://www.google.com/maps/search/lancaster+pennsylvania+dentists/@40.042,-76.3012,12z/"
Poughkeepsie,dentists,"https://www.google.com/maps/search/poughkeepsie+new+york+dentists/@41.695,-73.9211,12z/"
Oakland,dentists,"https://www.google.com/maps/search/oakland+california+dentists/@37.7904,-122.2166,12z/"
Syracuse,dentists,"https://www.google.com/maps/search/syracuse+new+york+dentists/@43.0407,-76.1437,12z/"
Arlington,dentists,"https://www.google.com/maps/search/arlington+texas+dentists/@32.6998,-97.125,12z/"
Stockton,dentists,"https://www.google.com/maps/search/stockton+california+dentists/@37.9765,-121.3109,12z/"
Oxnard,dentists,"https://www.google.com/maps/search/oxnard+california+dentists/@34.1964,-119.1815,12z/"
Modesto,dentists,"https://www.google.com/maps/search/modesto+california+dentists/@37.6375,-121.0028,12z/"
Anaheim,dentists,"https://www.google.com/maps/search/anaheim+california+dentists/@33.839,-117.8574,12z/"
Santa Ana,dentists,"https://www.google.com/maps/search/santa+ana+california+dentists/@33.7367,-117.8819,12z/"
Ann Arbor,dentists,"https://www.google.com/maps/search/ann+arbor+michigan+dentists/@42.2759,-83.731,12z/"
Santa Rosa,dentists,"https://www.google.com/maps/search/santa+rosa+california+dentists/@38.4458,-122.7067,12z/"
St. Paul,dentists,"https://www.google.com/maps/search/st.+paul+minnesota+dentists/@44.9478,-93.1039,12z/"
Trenton,dentists,"https://www.google.com/maps/search/trenton+new+jersey+dentists/@40.2237,-74.7641,12z/"
Round Lake Beach,dentists,"https://www.google.com/maps/search/round+lake+beach+illinois+dentists/@42.3791,-88.0811,12z/"
Newark,dentists,"https://www.google.com/maps/search/newark+new+jersey+dentists/@40.7245,-74.1725,12z/"
Reading,dentists,"https://www.google.com/maps/search/reading+pennsylvania+dentists/@40.34,-75.9267,12z/"
Irvine,dentists,"https://www.google.com/maps/search/irvine+california+dentists/@33.6772,-117.7738,12z/"
Chula Vista,dentists,"https://www.google.com/maps/search/chula+vista+california+dentists/@32.6281,-117.0144,12z/"
St. Petersburg,dentists,"https://www.google.com/maps/search/st.+petersburg+florida+dentists/@27.7931,-82.6652,12z/"
Jersey City,dentists,"https://www.google.com/maps/search/jersey+city+new+jersey+dentists/@40.7184,-74.0686,12z/"
Aguadilla,dentists,"https://www.google.com/maps/search/aguadilla+puerto+rico+dentists/@18.4382,-67.1537,12z/"
Norfolk,dentists,"https://www.google.com/maps/search/norfolk+virginia+dentists/@36.8945,-76.259,12z/"
Garland,dentists,"https://www.google.com/maps/search/garland+texas+dentists/@32.91,-96.6304,12z/"
York,dentists,"https://www.google.com/maps/search/york+pennsylvania+dentists/@39.9651,-76.7315,12z/"
Arlington,dentists,"https://www.google.com/maps/search/arlington+virginia+dentists/@38.8786,-77.1011,12z/"
Hialeah,dentists,"https://www.google.com/maps/search/hialeah+florida+dentists/@25.8696,-80.3045,12z/"
Spring Valley,dentists,"https://www.google.com/maps/search/spring+valley+nevada+dentists/@36.0952,-115.2636,12z/"
Tacoma,dentists,"https://www.google.com/maps/search/tacoma+washington+dentists/@47.2431,-122.4531,12z/"
Fontana,dentists,"https://www.google.com/maps/search/fontana+california+dentists/@34.0968,-117.4599,12z/"
Santa Barbara,dentists,"https://www.google.com/maps/search/santa+barbara+california+dentists/@34.4285,-119.7202,12z/"
Yonkers,dentists,"https://www.google.com/maps/search/yonkers+new+york+dentists/@40.9466,-73.8673,12z/"
Huntington Beach,dentists,"https://www.google.com/maps/search/huntington+beach+california+dentists/@33.696,-118.0018,12z/"
Glendale,dentists,"https://www.google.com/maps/search/glendale+california+dentists/@34.1819,-118.2468,12z/"
Aurora,dentists,"https://www.google.com/maps/search/aurora+illinois+dentists/@41.7638,-88.2902,12z/"
Sunrise Manor,dentists,"https://www.google.com/maps/search/sunrise+manor+nevada+dentists/@36.1783,-115.0487,12z/"
Paradise,dentists,"https://www.google.com/maps/search/paradise+nevada+dentists/@36.0872,-115.1355,12z/"
Tempe,dentists,"https://www.google.com/maps/search/tempe+arizona+dentists/@33.3881,-111.9319,12z/"
Salinas,dentists,"https://www.google.com/maps/search/salinas+california+dentists/@36.6883,-121.6317,12z/"
Erie,dentists,"https://www.google.com/maps/search/erie+pennsylvania+dentists/@42.1167,-80.0733,12z/"
Fort Lauderdale,dentists,"https://www.google.com/maps/search/fort+lauderdale+florida+dentists/@26.1412,-80.1464,12z/"
Rancho Cucamonga,dentists,"https://www.google.com/maps/search/rancho+cucamonga+california+dentists/@34.1247,-117.5667,12z/"
Oceanside,dentists,"https://www.google.com/maps/search/oceanside+california+dentists/@33.2247,-117.3083,12z/"
Garden Grove,dentists,"https://www.google.com/maps/search/garden+grove+california+dentists/@33.7787,-117.9601,12z/"
Pembroke Pines,dentists,"https://www.google.com/maps/search/pembroke+pines+florida+dentists/@26.0128,-80.3382,12z/"
Corona,dentists,"https://www.google.com/maps/search/corona+california+dentists/@33.8616,-117.5649,12z/"
Santa Cruz,dentists,"https://www.google.com/maps/search/santa+cruz+california+dentists/@36.9789,-122.0346,12z/"
Alexandria,dentists,"https://www.google.com/maps/search/alexandria+virginia+dentists/@38.8185,-77.0861,12z/"
Bayam贸n,dentists,"https://www.google.com/maps/search/bayam贸n+puerto+rico+dentists/@18.3794,-66.1635,12z/"
Hollywood,dentists,"https://www.google.com/maps/search/hollywood+florida+dentists/@26.0293,-80.1679,12z/"
Sunnyvale,dentists,"https://www.google.com/maps/search/sunnyvale+california+dentists/@37.3836,-122.0255,12z/"
Pomona,dentists,"https://www.google.com/maps/search/pomona+california+dentists/@34.0585,-117.7626,12z/"
New Bedford,dentists,"https://www.google.com/maps/search/new+bedford+massachusetts+dentists/@41.6697,-70.9428,12z/"
Binghamton,dentists,"https://www.google.com/maps/search/binghamton+new+york+dentists/@42.1014,-75.9093,12z/"
Bellevue,dentists,"https://www.google.com/maps/search/bellevue+washington+dentists/@47.5951,-122.1535,12z/"
Paterson,dentists,"https://www.google.com/maps/search/paterson+new+jersey+dentists/@40.9147,-74.1624,12z/"
Torrance,dentists,"https://www.google.com/maps/search/torrance+california+dentists/@33.8346,-118.3416,12z/"
Pasadena,dentists,"https://www.google.com/maps/search/pasadena+california+dentists/@34.1597,-118.139,12z/"
Fullerton,dentists,"https://www.google.com/maps/search/fullerton+california+dentists/@33.8841,-117.9279,12z/"
Miramar,dentists,"https://www.google.com/maps/search/miramar+florida+dentists/@25.9773,-80.3351,12z/"
Orange,dentists,"https://www.google.com/maps/search/orange+california+dentists/@33.8038,-117.8218,12z/"
Santa Maria,dentists,"https://www.google.com/maps/search/santa+maria+california+dentists/@34.9333,-120.4431,12z/"
Metairie,dentists,"https://www.google.com/maps/search/metairie+louisiana+dentists/@29.9977,-90.178,12z/"
Racine,dentists,"https://www.google.com/maps/search/racine+wisconsin+dentists/@42.7274,-87.8135,12z/"
Carolina,dentists,"https://www.google.com/maps/search/carolina+puerto+rico+dentists/@18.4054,-65.9792,12z/"
Coral Springs,dentists,"https://www.google.com/maps/search/coral+springs+florida+dentists/@26.2702,-80.2591,12z/"
Elizabeth,dentists,"https://www.google.com/maps/search/elizabeth+new+jersey+dentists/@40.6658,-74.1913,12z/"
Santa Clara,dentists,"https://www.google.com/maps/search/santa+clara+california+dentists/@37.3646,-121.968,12z/"
Yuba City,dentists,"https://www.google.com/maps/search/yuba+city+california+dentists/@39.1357,-121.6383,12z/"
Berkeley,dentists,"https://www.google.com/maps/search/berkeley+california+dentists/@37.8722,-122.276,12z/"
East Los Angeles,dentists,"https://www.google.com/maps/search/east+los+angeles+california+dentists/@34.0326,-118.1691,12z/"
Richardson,dentists,"https://www.google.com/maps/search/richardson+texas+dentists/@32.9716,-96.7093,12z/"
Cambridge,dentists,"https://www.google.com/maps/search/cambridge+massachusetts+dentists/@42.3759,-71.1185,12z/"
Clearwater,dentists,"https://www.google.com/maps/search/clearwater+florida+dentists/@27.979,-82.7623,12z/"
Pottstown,dentists,"https://www.google.com/maps/search/pottstown+pennsylvania+dentists/@40.2508,-75.6445,12z/"
El Monte,dentists,"https://www.google.com/maps/search/el+monte+california+dentists/@34.0739,-118.0291,12z/"
Costa Mesa,dentists,"https://www.google.com/maps/search/costa+mesa+california+dentists/@33.6667,-117.9135,12z/"
Clovis,dentists,"https://www.google.com/maps/search/clovis+california+dentists/@36.8278,-119.683,12z/"
Lowell,dentists,"https://www.google.com/maps/search/lowell+massachusetts+dentists/@42.6389,-71.3217,12z/"
Downey,dentists,"https://www.google.com/maps/search/downey+california+dentists/@33.9379,-118.1311,12z/"
Pompano Beach,dentists,"https://www.google.com/maps/search/pompano+beach+florida+dentists/@26.2428,-80.1312,12z/"
Miami Gardens,dentists,"https://www.google.com/maps/search/miami+gardens+florida+dentists/@25.9433,-80.2426,12z/"
Gresham,dentists,"https://www.google.com/maps/search/gresham+oregon+dentists/@45.5021,-122.4413,12z/"
Inglewood,dentists,"https://www.google.com/maps/search/inglewood+california+dentists/@33.9566,-118.3444,12z/"
San Buenaventura,dentists,"https://www.google.com/maps/search/san+buenaventura+california+dentists/@34.2741,-119.2314,12z/"
Hillsboro,dentists,"https://www.google.com/maps/search/hillsboro+oregon+dentists/@45.5273,-122.936,12z/"
Daly City,dentists,"https://www.google.com/maps/search/daly+city+california+dentists/@37.6862,-122.4685,12z/"
Highlands Ranch,dentists,"https://www.google.com/maps/search/highlands+ranch+colorado+dentists/@39.5419,-104.9708,12z/"
Kailua,dentists,"https://www.google.com/maps/search/kailua+hawaii+dentists/@21.392,-157.7396,12z/"
West Covina,dentists,"https://www.google.com/maps/search/west+covina+california+dentists/@34.0555,-117.9113,12z/"
Turlock,dentists,"https://www.google.com/maps/search/turlock+california+dentists/@37.5053,-120.8588,12z/"
Norwalk,dentists,"https://www.google.com/maps/search/norwalk+california+dentists/@33.9069,-118.0829,12z/"
San Mateo,dentists,"https://www.google.com/maps/search/san+mateo+california+dentists/@37.5522,-122.3121,12z/"
Rialto,dentists,"https://www.google.com/maps/search/rialto+california+dentists/@34.1175,-117.3892,12z/"
Burbank,dentists,"https://www.google.com/maps/search/burbank+california+dentists/@34.1879,-118.3235,12z/"
El Cajon,dentists,"https://www.google.com/maps/search/el+cajon+california+dentists/@32.8017,-116.9604,12z/"
Charlottesville,dentists,"https://www.google.com/maps/search/charlottesville+virginia+dentists/@38.0375,-78.4855,12z/"
Renton,dentists,"https://www.google.com/maps/search/renton+washington+dentists/@47.4784,-122.1918,12z/"
Vista,dentists,"https://www.google.com/maps/search/vista+california+dentists/@33.1896,-117.2386,12z/"
Beaverton,dentists,"https://www.google.com/maps/search/beaverton+oregon+dentists/@45.4779,-122.8168,12z/"
Orem,dentists,"https://www.google.com/maps/search/orem+utah+dentists/@40.2981,-111.6994,12z/"
Federal Way,dentists,"https://www.google.com/maps/search/federal+way+washington+dentists/@47.3091,-122.3358,12z/"
Compton,dentists,"https://www.google.com/maps/search/compton+california+dentists/@33.893,-118.2274,12z/"
Brockton,dentists,"https://www.google.com/maps/search/brockton+massachusetts+dentists/@42.0821,-71.0242,12z/"
South Gate,dentists,"https://www.google.com/maps/search/south+gate+california+dentists/@33.9447,-118.1926,12z/"
Sunrise,dentists,"https://www.google.com/maps/search/sunrise+florida+dentists/@26.1547,-80.2997,12z/"
Quincy,dentists,"https://www.google.com/maps/search/quincy+massachusetts+dentists/@42.2506,-71.0187,12z/"
Plantation,dentists,"https://www.google.com/maps/search/plantation+florida+dentists/@26.1259,-80.2617,12z/"
Lynn,dentists,"https://www.google.com/maps/search/lynn+massachusetts+dentists/@42.4781,-70.9664,12z/"
Arden-Arcade,dentists,"https://www.google.com/maps/search/arden-arcade+california+dentists/@38.6017,-121.3845,12z/"
Santa Monica,dentists,"https://www.google.com/maps/search/santa+monica+california+dentists/@34.0235,-118.481,12z/"
Carson,dentists,"https://www.google.com/maps/search/carson+california+dentists/@33.8374,-118.2559,12z/"
Kirkland,dentists,"https://www.google.com/maps/search/kirkland+washington+dentists/@47.697,-122.2057,12z/"
Westminster,dentists,"https://www.google.com/maps/search/westminster+california+dentists/@33.7523,-117.9938,12z/"
San Leandro,dentists,"https://www.google.com/maps/search/san+leandro+california+dentists/@37.7074,-122.1599,12z/"
Germantown,dentists,"https://www.google.com/maps/search/germantown+maryland+dentists/@39.1755,-77.2643,12z/"
Miami Beach,dentists,"https://www.google.com/maps/search/miami+beach+florida+dentists/@25.8171,-80.1396,12z/"
State College,dentists,"https://www.google.com/maps/search/state+college+pennsylvania+dentists/@40.7909,-77.8567,12z/"
Newton,dentists,"https://www.google.com/maps/search/newton+massachusetts+dentists/@42.3316,-71.2085,12z/"
Citrus Heights,dentists,"https://www.google.com/maps/search/citrus+heights+california+dentists/@38.6948,-121.288,12z/"
Hawthorne,dentists,"https://www.google.com/maps/search/hawthorne+california+dentists/@33.9147,-118.3476,12z/"
Napa,dentists,"https://www.google.com/maps/search/napa+california+dentists/@38.2975,-122.301,12z/"
Clifton,dentists,"https://www.google.com/maps/search/clifton+new+jersey+dentists/@40.863,-74.1575,12z/"
Whittier,dentists,"https://www.google.com/maps/search/whittier+california+dentists/@33.9678,-118.0188,12z/"
Largo,dentists,"https://www.google.com/maps/search/largo+florida+dentists/@27.9088,-82.7712,12z/"
Lake Forest,dentists,"https://www.google.com/maps/search/lake+forest+california+dentists/@33.6605,-117.6714,12z/"
Redwood City,dentists,"https://www.google.com/maps/search/redwood+city+california+dentists/@37.5025,-122.2253,12z/"
Alhambra,dentists,"https://www.google.com/maps/search/alhambra+california+dentists/@34.084,-118.1355,12z/"
Buena Park,dentists,"https://www.google.com/maps/search/buena+park+california+dentists/@33.8572,-118.0046,12z/"
Cicero,dentists,"https://www.google.com/maps/search/cicero+illinois+dentists/@41.8445,-87.7593,12z/"
Pine Hills,dentists,"https://www.google.com/maps/search/pine+hills+florida+dentists/@28.5818,-81.4692,12z/"
San Ramon,dentists,"https://www.google.com/maps/search/san+ramon+california+dentists/@37.7624,-121.9365,12z/"
Somerville,dentists,"https://www.google.com/maps/search/somerville+massachusetts+dentists/@42.3908,-71.1014,12z/"
Silver Spring,dentists,"https://www.google.com/maps/search/silver+spring+maryland+dentists/@39.0028,-77.0207,12z/"
Deerfield Beach,dentists,"https://www.google.com/maps/search/deerfield+beach+florida+dentists/@26.305,-80.1277,12z/"
Tustin,dentists,"https://www.google.com/maps/search/tustin+california+dentists/@33.7311,-117.8107,12z/"
Lebanon,dentists,"https://www.google.com/maps/search/lebanon+pennsylvania+dentists/@40.3412,-76.4228,12z/"
Yauco,dentists,"https://www.google.com/maps/search/yauco+puerto+rico+dentists/@18.0344,-66.8615,12z/"
Mountain View,dentists,"https://www.google.com/maps/search/mountain+view+california+dentists/@37.4001,-122.0796,12z/"
Lawrence,dentists,"https://www.google.com/maps/search/lawrence+massachusetts+dentists/@42.7002,-71.1626,12z/"
Chicago,oral surgery,"https://www.google.com/maps/search/chicago+illinois+oral+surgery/@41.8375,-87.6866,12z/"
Miami,oral surgery,"https://www.google.com/maps/search/miami+florida+oral+surgery/@25.784,-80.2101,12z/"
Philadelphia,oral surgery,"https://www.google.com/maps/search/philadelphia+pennsylvania+oral+surgery/@40.0077,-75.1339,12z/"
Washington,oral surgery,"https://www.google.com/maps/search/washington+district+of+columbia+oral+surgery/@38.9047,-77.0163,12z/"
Boston,oral surgery,"https://www.google.com/maps/search/boston+massachusetts+oral+surgery/@42.3188,-71.0852,12z/"
Detroit,oral surgery,"https://www.google.com/maps/search/detroit+michigan+oral+surgery/@42.3834,-83.1024,12z/"
San Francisco,oral surgery,"https://www.google.com/maps/search/san+francisco+california+oral+surgery/@37.7558,-122.4449,12z/"
Seattle,oral surgery,"https://www.google.com/maps/search/seattle+washington+oral+surgery/@47.6211,-122.3244,12z/"
